type,latency,P7,P4,Cz,Pz,P3,P8,O1,O2,FC6,F8,C4,F4,AF4,Fz,C3,F3,AF3,FC5,F7
0,1,-3.53249,-63.31014,-5.473574,-7.616866,-4.900671,-227.8655,-15.17854,-22.79482,251.9506,88.3311,-8.73796,-85.5405,-29.53653,-6.763099,-21.02011,-16.86323,-9.68475,-24.05604,-14.48599
0,2,-5.416218,-62.29062,-6.746794,-4.584276,-5.028127,-228.5291,-19.62547,-24.87064,246.7838,84.74763,-8.2536,-89.08121,-31.8073,-7.786812,-21.1106,-17.22173,-10.05851,-25.92104,-15.32922
0,3,-2.299587,-57.77787,-4.001041,-2.412697,-2.147381,-221.1669,-13.1722,-18.34099,251.5659,89.70879,-4.170227,-81.35676,-27.58869,-7.103038,-19.19498,-18.62359,-10.41701,-20.2264,-12.85338
0,4,-6.650045,-61.97783,-6.640745,-8.451984,-6.541256,-223.4073,-15.11938,-22.39294,247.2252,85.84591,-7.872642,-83.46595,-32.02187,-15.15456,-23.54045,-23.42149,-17.01094,-24.20251,-17.74347
0,5,-16.39386,-70.46106,-15.17827,-14.89252,-14.89291,-232.4419,-26.73496,-32.7788,234.3472,74.49825,-18.19445,-96.28484,-41.68047,-21.10132,-31.16875,-28.47003,-22.19117,-34.89786,-25.80005
0,6,-3.925286,-59.88665,-5.070838,-6.985553,-4.686163,-218.1672,-12.24426,-20.35471,245.9599,86.59354,-7.233881,-81.33543,-29.72305,-12.26844,-21.94158,-19.71782,-13.15744,-23.10532,-15.54688
0,7,-6.438154,-62.08231,-7.738666,-7.460623,-6.191581,-220.2991,-17.17052,-25.13532,241.6728,82.66417,-10.39873,-87.0058,-33.63064,-14.35856,-21.80427,-19.24585,-14.69023,-26.45781,-17.67717
0,8,-21.43804,-73.94023,-20.67429,-15.43104,-18.6652,-234.9341,-35.33649,-40.13919,223.9209,66.6905,-24.18889,-105.5481,-46.39307,-19.00958,-34.07913,-28.7947,-20.68665,-41.33937,-28.97848
0,9,-14.19206,-67.17355,-14.87884,-10.1654,-12.72401,-225.7371,-25.42431,-32.17,230.8356,74.24908,-17.25755,-95.51432,-38.13654,-11.83948,-30.31177,-25.45659,-14.32469,-33.85885,-22.72219
0,10,-10.71283,-63.20727,-10.85004,-4.171787,-7.949231,-222.9931,-25.0554,-30.56198,231.856,75.88644,-14.34974,-95.95254,-36.062,-7.345566,-23.66818,-17.95125,-9.084824,-32.65894,-19.04264
