type,latency,P7,P4,Cz,Pz,P3,P8,O1,O2,FC6,F8,C4,F4,AF4,Fz,C3,F3,AF3,FC5,F7
0,1,6.178608,4.819613,10.39798,10.1134,8.352715,-16.49331,3.680369,6.687501,5.114212,3.509939,8.029923,6.35275,6.564602,6.41438,8.0441,3.770207,5.600829,1.66315,2.518267
0,2,8.213961,7.518715,12.81338,12.10081,9.650684,-13.92192,5.189733,9.325445,7.825833,4.525533,11.4406,9.441933,8.564874,8.794073,12.1484,5.718889,7.189277,4.474209,4.516755
0,3,10.76562,10.22464,16.06905,15.23698,12.15184,-9.613001,8.435272,13.44587,11.06971,8.433819,14.64372,11.82863,11.01363,11.57088,14.81809,9.045843,9.325683,6.273612,7.304847
0,4,15.47497,16.0067,21.27646,20.96767,17.24513,-5.207163,14.13177,17.40661,15.00366,12.77972,18.24034,15.22091,16.26424,15.53928,17.96919,13.92891,11.77683,8.722336,10.47777
0,5,1.742289,1.987059,7.382997,8.33383,4.819465,-18.25823,0.3071288,4.542766,1.173654,-0.1290181,3.547345,1.404213,2.424672,2.435496,4.04051,0.2323963,-1.318885,-6.603534,-3.137088
0,6,-20.52559,-20.05875,-15.49022,-15.85582,-17.85164,-41.07972,-22.37108,-18.86415,-21.84405,-22.98737,-19.94428,-20.98487,-20.00198,-20.10614,-18.74023,-21.77382,-23.62362,-27.40731,-24.70716
0,7,-19.38981,-20.90267,-15.3111,-17.02281,-17.51987,-42.07502,-22.76315,-17.07154,-22.23781,-23.26887,-19.13568,-21.32881,-19.83682,-19.63643,-17.3295,-20.93291,-22.32989,-22.13142,-20.71091
0,8,-2.249019,-2.769476,1.514939,2.362578,-0.02883986,-23.01246,-5.30934,1.628331,-3.335001,-4.208891,-0.7567153,-2.396075,-1.775566,-1.51189,-0.8115616,-3.946442,-4.053263,-4.940896,-3.618951
0,9,4.265028,4.34392,6.570263,9.53274,8.138177,-15.61252,0.9882658,7.523452,2.630915,1.006391,4.581367,3.680382,3.682905,4.550574,5.103479,1.051954,0.5968932,-0.8956918,-0.1125823
0,10,8.510294,7.963381,11.74767,13.87169,11.20558,-11.67632,6.32531,12.61396,6.539639,5.132592,9.396222,6.424862,7.275009,8.262634,9.855417,6.822539,4.142436,2.823277,3.977538
0,11,8.373201,7.410215,11.85341,12.23895,10.6609,-11.35112,6.624038,13.07398,6.025568,4.352782,9.019469,6.151814,6.869515,7.514168,9.25775,5.523549,2.804605,2.439681,3.294734
0,12,13.96769,13.24354,16.92908,18.83981,16.32954,-4.377391,12.46108,19.79567,11.28543,9.529948,14.23409,11.09274,12.12967,12.78775,15.29099,10.5844,7.59832,7.359437,8.337988
0,13,7.330604,7.720391,11.029,13.63178,9.517022,-10.59027,5.781628,13.79746,5.219812,4.409941,6.979187,5.247581,5.410049,6.850554,9.773548,4.891879,1.584818,1.027944,2.81302
0,14,0.8495903,1.168799,5.982034,6.015471,2.720477,-18.03989,0.5297264,4.552372,-1.757846,-2.707171,-0.5504581,-0.7335344,-0.4580719,0.1200666,0.6234248,-1.824081,-5.183723,-6.873903,-4.627247
0,15,3.628804,4.048593,7.940291,9.401799,5.804619,-16.52187,3.425899,7.09312,0.556371,-1.767438,2.162866,1.976737,1.445501,2.598804,3.476803,-0.2818706,-4.294386,-6.127158,-3.7959
0,16,1.174606,2.149177,6.70344,7.419585,3.318893,-17.70103,0.2378413,5.268932,-1.025855,-3.487171,0.8660637,0.4233738,-0.2284016,1.223249,2.05395,-1.63268,-5.04444,-7.163027,-3.728499
0,17,5.290121,6.619465,10.32837,10.78266,7.897878,-12.98068,4.14153,8.98549,3.031708,0.5492173,4.122533,5.033132,4.122867,5.213063,4.679784,1.966882,-0.8555468,-2.381425,-0.7198434
0,18,1.68737,2.167048,4.940044,6.942802,4.344208,-16.4371,-0.4879281,5.81445,-1.777551,-3.939961,-0.1322185,-0.2085078,0.0154199,1.252164,1.277754,-1.709896,-5.972123,-4.087012,-2.166933
