type,latency,P7,P4,Cz,Pz,P3,P8,O1,O2,FC6,F8,C4,F4,AF4,Fz,C3,F3,AF3,FC5,F7
0,1,0.07430844,6.118211,6.321985,-0.6207145,1.010037,-8.494603,-5.68299,-5.755309,6.475265,1.229684,5.25441,13.37555,4.854633,4.940289,5.021123,5.437884,7.268758,6.233057,6.085661
0,2,-5.595617,-0.1576921,-1.109246,-4.866304,-4.225653,-13.37059,-11.20407,-10.47942,1.108907,-5.219082,0.5384933,7.417642,-2.650751,-1.163648,-1.382418,-1.859059,-1.029784,-0.5775613,-1.188983
0,3,-8.81431,-2.295758,-4.328007,-8.481866,-7.687262,-16.60382,-13.98401,-13.46501,-1.915867,-6.138173,-3.346964,3.902879,-2.233433,-5.278854,-4.449033,-4.782116,-3.835966,-3.738995,-3.991343
0,4,-16.56812,-10.34799,-11.16934,-16.71571,-15.7723,-25.05475,-21.29723,-20.72519,-9.297953,-9.997648,-11.55033,-4.338933,-5.690076,-13.16854,-11.4823,-10.66382,-8.724567,-10.5263,-9.968295
0,5,-19.19106,-12.82428,-11.69959,-19.18921,-18.60499,-27.19517,-23.14022,-22.9178,-11.43838,-8.803098,-14.08001,-8.312215,-6.209854,-15.76167,-14.14874,-11.65959,-8.260851,-12.61659,-11.04956
0,6,-15.0295,-8.22898,-7.327769,-14.81282,-14.55315,-22.65172,-18.51259,-19.49767,-7.692018,-5.355542,-10.59154,-4.222492,-3.142311,-12.18054,-11.24528,-7.311693,-3.902986,-8.834988,-6.951305
0,7,-16.59103,-10.11863,-8.765568,-15.86637,-15.77234,-23.00179,-20.84266,-20.52659,-8.947128,-8.077939,-11.22522,-5.415939,-5.805815,-13.10455,-11.86535,-8.848902,-5.909805,-9.955186,-8.567015
0,8,-14.87662,-8.809608,-9.674463,-14.3867,-13.88528,-21.79073,-18.99488,-20.20667,-8.278026,-8.417714,-9.218383,-5.834219,-6.088186,-11.3506,-9.913656,-10.47005,-7.456955,-9.755791,-9.208581
0,9,-3.195728,2.950426,-0.5186661,-3.67958,-2.414829,-11.59017,-6.904709,-9.845498,2.019425,0.1925337,1.743128,5.14075,1.947497,-1.803894,1.075102,-1.563562,1.850385,0.5103323,0.6056792
0,10,0.372229,6.583124,1.046609,-0.1784977,1.136443,-6.199969,-2.721557,-6.335958,3.586505,-1.846094,4.738187,6.69486,1.036469,0.6631983,2.517818,-1.424509,0.2825667,1.620977,0.8200582
0,11,-6.853143,0.07927399,-4.225815,-7.021653,-5.973026,-11.98224,-9.984965,-11.62131,-2.1971,-6.16908,-1.532713,-0.2113858,-3.346482,-6.00793,-4.164317,-8.091202,-6.768174,-5.318302,-6.006705
0,12,-21.34929,-12.67997,-14.73398,-19.72918,-20.11471,-25.94318,-24.73111,-25.40863,-13.05625,-11.64614,-15.24847,-12.10507,-9.228759,-18.62918,-17.50217,-18.30323,-16.78893,-17.62871,-17.09873
