type,latency,P7,P4,Cz,Pz,P3,P8,O1,O2,FC6,F8,C4,F4,AF4,Fz,C3,F3,AF3,FC5,F7
0,1,-17.5832,-13.93102,-15.62367,-15.33466,-14.12559,-11.85564,-18.83595,-13.46801,-7.984789,-2.073233,-12.76468,-8.718257,-6.705413,-13.06334,-15.96926,-4.678761,-7.030563,-16.74598,-12.23937
0,2,-11.61204,-9.138759,-12.86698,-10.57065,-7.516749,-6.756775,-14.79483,-8.821789,-1.958774,4.08674,-7.059175,-2.425985,-0.4836604,-5.576433,-8.293575,0.8249195,-0.546513,-9.321235,-5.442687
0,3,6.728746,10.46519,7.873955,9.463519,11.62321,12.74305,4.15232,11.51959,15.49181,21.52789,9.853242,13.8672,13.52709,12.64083,10.07338,18.07854,12.34372,6.978402,9.844923
0,4,12.89898,17.66837,17.63444,17.37623,18.02101,19.25863,11.35724,18.99382,19.35728,24.28161,14.35161,16.8462,14.5848,17.34641,14.42082,24.19943,15.13245,11.30153,14.07153
0,5,9.700863,14.65201,16.16837,14.97113,15.09071,15.95563,7.538596,16.49929,14.32502,18.8635,9.475013,11.59686,8.603494,13.5364,12.64719,20.03914,12.42903,7.945023,10.83973
0,6,3.382337,8.925316,10.12434,8.942311,8.980881,9.928581,0.7434813,9.708097,9.312022,13.31272,5.38369,6.437452,3.786328,6.94138,7.338533,13.50403,8.147562,2.252712,5.437007
0,7,1.125827,6.810212,7.295063,6.323582,6.394374,7.573246,-2.37213,5.963711,8.988572,11.66028,5.749283,7.113843,5.679951,6.307177,6.135208,13.42195,9.631581,1.091563,5.412028
0,8,5.791084,11.54544,12.58684,11.05153,11.2922,12.11917,0.7933619,9.164598,15.47251,17.66406,11.92733,14.11975,12.3626,13.93854,12.2951,18.94142,15.26397,7.438201,11.4248
0,9,5.30697,10.6201,12.03493,10.73852,11.7838,10.82287,0.08380391,6.888974,15.20606,17.17567,11.39057,13.54069,10.64682,14.13635,11.24015,18.28909,12.57604,5.425481,9.529383
0,10,3.584187,8.65654,10.52192,9.145617,10.2674,8.645119,-1.672907,4.081915,13.61908,15.57774,9.662223,11.4908,7.719947,12.33399,10.66939,15.59756,9.130123,2.553215,6.529033
0,11,-9.59661,-5.068202,-2.213846,-3.954,-2.116281,-5.707436,-15.82828,-11.63152,1.356238,2.635977,-2.538863,0.08486944,-2.699153,-0.761444,-1.838988,2.054413,-2.839273,-10.89723,-6.225948
0,12,-11.46766,-7.459952,-4.019822,-6.284699,-3.296735,-8.143027,-20.34304,-16.173,2.699223,4.475563,-1.935169,2.819375,2.061545,0.1783835,-1.023025,3.589505,3.67583,-9.980371,-3.318794
0,13,1.212511,6.110281,8.48677,6.82518,9.663509,4.891418,-8.600028,-3.792566,16.04135,15.84643,13.11779,15.96189,14.83793,12.85264,12.65627,15.71842,16.0972,3.686558,9.719814
0,14,11.73818,16.68444,20.42705,17.99033,20.2176,15.17985,2.978917,7.158246,24.83337,24.42051,21.7255,23.96261,20.77066,22.73404,21.47235,23.62087,19.32333,12.7911,16.76011
0,15,13.80051,19.006,24.15248,20.79228,22.51384,17.52241,6.542143,10.4528,25.91689,26.2133,21.89956,24.72581,20.38306,24.71699,20.90559,23.2655,15.62755,13.24717,15.72043
0,16,1.113731,6.296736,12.23712,8.163964,9.825546,4.638627,-6.582422,-2.635636,13.69486,13.71688,9.620353,13.39768,10.26882,12.17637,7.881667,10.99596,4.142618,1.679664,4.166334
0,17,-0.8311083,5.904269,9.579538,6.964547,9.457541,4.03332,-9.386786,-5.138169,16.00265,14.98611,12.53255,16.29832,14.28746,12.72562,6.670227,10.67178,6.353047,-0.8878371,3.495723
0,18,-0.02148981,7.289366,12.36341,8.763722,11.29268,5.158596,-8.566193,-4.156305,17.15463,16.73195,13.49166,16.66007,12.64991,15.31789,6.177567,9.58204,6.446325,-0.3927968,3.486746
0,19,-6.927614,1.199981,6.87004,2.025862,3.432568,-0.5368506,-15.11278,-10.47906,12.78131,13.29038,8.341448,12.27141,8.309264,10.3282,0.3372791,3.968983,0.2271611,-5.968007,-2.491513
0,20,-10.72898,-1.462557,4.361001,-1.546289,-1.544768,-3.253024,-18.36265,-14.27845,11.63214,11.5753,7.656003,11.16771,7.374825,7.736872,-3.331228,1.832451,-3.788942,-8.347954,-5.448053
0,21,-7.908084,0.8807104,5.918335,0.7358455,1.368477,-0.5701565,-15.22202,-10.93725,13.48544,14.77425,9.579885,11.78271,6.752831,9.661115,-1.558415,2.906839,-2.234786,-5.024815,-3.269208
0,22,-7.220205,1.020612,6.448319,1.453234,2.97702,-0.2043879,-15.50336,-9.775747,12.62391,15.52791,8.214677,9.719818,3.872994,8.261101,-0.09812678,3.137483,-1.844703,-3.459483,-2.412381
0,23,5.255702,11.88858,19.82597,13.45384,14.68714,10.87117,-1.917581,3.096706,21.36054,26.35189,15.84165,17.50213,10.31344,17.81811,11.52623,11.17282,4.795347,8.730857,7.250783
0,24,2.424461,7.362285,16.53174,9.666303,11.06916,6.484998,-3.894405,0.4300756,14.66774,20.55866,8.859258,10.64201,2.89449,13.1134,6.115388,6.223797,-0.5333754,6.124325,3.428009
0,25,-1.381098,2.829503,10.78437,4.752665,5.529274,2.29838,-5.590107,-2.30691,9.046064,14.59352,3.599479,6.226686,1.077063,6.603961,1.442792,1.204464,-3.823056,0.5099735,-1.230766
0,26,3.407065,6.444092,14.13073,8.786706,9.254992,5.775226,1.48751,3.010756,9.609926,14.51116,5.050594,6.645458,1.439274,7.656988,3.488892,2.81012,-3.206501,2.536224,0.4166946
0,27,-3.023425,-1.40902,7.649021,1.705207,2.94169,-2.352719,-4.927097,-5.062149,1.803739,7.038228,-2.888867,-0.3823727,-4.503178,0.2413006,-5.125174,-3.490421,-7.464896,-3.820287,-5.052321
0,28,-3.015918,-1.38976,7.046253,1.305297,2.386226,-2.007092,-3.9902,-3.939729,1.668256,7.080951,-3.168151,0.2590842,-2.594049,0.220183,-7.278297,-3.283095,-7.301359,-3.489255,-4.801587
0,29,5.493227,6.928202,14.3537,9.484019,10.22143,6.517481,6.501358,6.042109,7.876683,13.64717,3.736203,5.339679,1.377667,6.472556,-0.4118279,2.229011,-1.80963,3.04497,1.096241
0,30,4.963937,5.611858,13.58694,8.671161,9.6738,5.328446,6.664686,5.898915,5.687317,11.9165,0.8475969,3.882376,0.4744247,5.705404,-2.338341,-0.383866,-3.427269,1.39951,-0.6147715
0,31,2.460356,1.415674,8.984138,5.037945,7.633912,1.124211,3.898121,1.505612,2.616426,9.029492,-2.916083,2.286088,1.196164,2.059291,-6.19072,-2.965531,-5.951218,-1.589744,-3.117167
0,32,3.350337,2.275954,9.68611,5.89526,8.633183,1.997705,4.647162,2.440501,3.508626,9.689461,-2.066414,3.722635,3.418044,3.120311,-5.382829,-1.140815,-3.232874,-0.8679567,-1.505552
0,33,8.053835,7.762264,14.6147,11.23282,14.03095,7.4901,9.052424,8.242631,8.318337,14.13069,2.974664,8.452978,7.75717,8.849341,-0.6139311,3.785514,3.063607,3.416376,3.48318
0,34,11.8527,11.40849,19.13713,15.15497,17.00692,11.20905,13.37177,13.00579,10.22289,15.79073,4.582167,10.37208,9.291634,11.77377,4.100335,6.727571,4.274172,6.505456,5.984013
0,35,2.46359,0.9315803,9.761289,4.733786,5.756434,0.6673538,4.89429,2.808127,-0.5500889,4.091502,-6.173579,1.171378,1.185509,3.315477,-7.060338,-1.892752,-4.351167,-2.4835,-2.620207
0,36,-2.580522,-3.922691,4.100328,-0.518471,1.287185,-4.11132,-1.677,-2.928568,-3.332351,1.056324,-9.152038,-0.3672389,1.454349,0.2009003,-11.41247,-4.739641,-5.109398,-5.534989,-4.848648
0,37,2.676699,1.313393,9.021336,4.682846,7.239727,1.268122,2.93122,1.569035,3.593786,8.802327,-2.876692,6.38476,8.496534,5.672143,-5.901437,2.08531,0.1869447,0.3743963,0.9812504
0,38,1.956904,-0.02633741,8.555566,3.582616,5.856294,-0.7073852,1.875193,-1.714705,3.091211,6.595159,-2.745928,6.597425,8.624622,5.975345,-6.312366,1.691447,-1.173009,-0.2397102,0.3923993
0,39,1.784715,0.162924,9.515618,3.709422,5.31661,-0.7287315,1.506594,-2.201569,3.281022,6.637995,-1.997939,6.143106,7.330826,5.938687,-5.231127,1.899168,0.3107672,0.09148924,1.006589
0,40,-5.816868,-6.513265,2.385731,-3.944593,-3.504433,-6.785449,-5.190303,-7.680718,-3.460973,1.180734,-8.55471,-1.655886,-1.220882,-1.109773,-12.61485,-5.119736,-5.041491,-6.030544,-5.377942
0,41,-5.51106,-5.451937,2.576246,-3.672172,-3.848842,-5.29869,-4.230979,-6.519184,-1.376043,3.778213,-6.599692,0.1583984,0.3759091,0.9434167,-11.73679,-3.513552,-2.440575,-5.77751,-4.343482
0,42,-2.667068,-2.023331,5.52457,-0.4477207,-0.3729712,-2.595731,-2.529591,-5.615495,3.359979,6.516254,-0.5704851,5.27721,6.128922,4.055191,-8.249402,1.733275,2.433774,-2.501065,-0.04439382
0,43,-7.133524,-6.117913,0.3322124,-5.013144,-4.444071,-6.583278,-7.781488,-10.48534,0.9321085,4.160457,-2.928055,3.02324,4.467824,0.7137725,-11.71914,-1.848054,0.261152,-6.013752,-3.202936
0,44,-10.65287,-8.828291,-3.196111,-8.740734,-9.187108,-8.523058,-11.54134,-12.98027,0.1117605,3.960853,-4.824734,2.397547,3.79888,0.4308962,-12.07177,-3.374716,-2.395917,-8.096814,-5.611808
0,45,-6.599488,-4.517782,1.697252,-4.68446,-6.024067,-4.088216,-6.840563,-8.584773,4.488319,8.503283,-0.5926316,6.515311,7.247078,5.2885,-8.31128,1.395404,0.8531657,-3.664396,-1.583008
0,46,-5.631268,-2.445343,5.336606,-2.326057,-4.501705,-2.143722,-5.733744,-6.478445,5.818398,9.944117,0.1589862,7.5351,7.4922,6.778863,-7.113357,3.149886,0.8913082,-3.521079,-1.226246
0,47,-7.290324,-4.446212,3.272887,-3.679436,-4.354262,-4.449977,-9.228528,-9.340816,4.226216,8.072534,-1.726062,6.22474,6.401453,5.163822,-8.102861,1.810714,-0.6095587,-4.994864,-2.535936
0,48,-13.06469,-10.70163,-3.908062,-10.47598,-11.31624,-10.39316,-13.99688,-15.16417,-1.161945,2.84155,-6.939259,1.844685,4.162233,-1.021555,-14.49476,-3.145634,-2.688592,-10.88273,-7.019681
0,49,-21.30569,-17.92801,-11.83507,-18.31401,-19.02038,-17.28195,-23.93719,-22.93279,-6.147419,-2.287857,-12.77351,-1.470863,3.524612,-6.753768,-19.92571,-7.086316,-4.150422,-17.63775,-11.575
0,50,-18.38843,-14.04563,-8.445701,-15.00167,-16.0839,-13.32285,-22.64325,-20.0452,-0.9695131,1.863991,-7.834325,4.262815,9.488577,-1.177384,-14.40747,-0.3082405,0.4424312,-12.94744,-6.562238
0,51,-6.936661,-1.9088,5.193679,-2.746774,-5.116156,-1.257226,-10.65412,-7.579509,9.542237,12.64087,2.796265,13.07095,15.42913,10.274,-2.963454,11.26675,8.668136,-1.389938,3.760205
0,52,-6.681311,-1.087673,8.762806,-1.896613,-6.0859,0.1225523,-8.555637,-4.92627,9.379408,14.78498,1.172982,11.96201,12.43999,11.76843,-4.613164,10.75587,6.33139,-0.519897,3.073092
0,53,-6.15782,-0.3615048,10.59382,-0.9864037,-5.22739,0.7390639,-7.683636,-4.202571,10.15167,16.0386,1.725596,12.86941,13.20095,13.0794,-6.114328,10.58105,7.166616,0.2877715,3.707054
0,54,-9.47026,-4.715116,7.592868,-5.284542,-9.861072,-3.260188,-10.35076,-7.736651,6.26022,13.72189,-2.811654,9.162935,9.915004,9.616937,-10.68582,6.742165,4.626801,-1.177986,1.421505
0,55,-16.88622,-10.88028,1.271522,-12.32718,-17.84642,-9.175046,-17.76026,-14.3177,1.599786,9.311353,-7.6615,4.455575,5.425859,3.607522,-17.43321,0.6766868,-3.084941,-6.690678,-5.062302
0,56,-22.40754,-15.10935,-3.745013,-17.07891,-22.22231,-13.58265,-25.67755,-19.86739,-1.25011,5.510297,-10.08939,2.003143,3.421214,0.3091652,-20.65707,-2.974613,-5.38253,-9.625147,-7.944244
0,57,-25.14773,-16.68821,-6.222488,-18.85099,-23.20758,-15.47818,-29.9465,-22.87019,-1.790106,4.599859,-10.04463,0.8947483,2.025971,-2.032154,-22.06845,-5.516521,-6.961397,-11.70023,-10.00165
0,58,-20.70216,-10.45884,-1.285915,-13.31507,-18.08352,-9.59954,-25.95777,-18.01361,4.722002,10.29875,-2.078021,5.613458,4.755719,2.231969,-15.75331,-2.503729,-5.055887,-6.923752,-6.664455
0,59,-22.71487,-12.61153,-3.630546,-15.30372,-20.186,-12.06713,-27.66441,-20.53204,2.253011,6.927375,-4.03327,3.475267,3.001106,-0.7031084,-16.89909,-6.928365,-8.4941,-10.32694,-10.14027
