neutral,positive,negative
0.9873617693522907,0.0,0.01263823064770932
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
0.995260663507109,0.004739336492890996,0.0
0.9984202211690363,0.001579778830963665,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
0.995260663507109,0.0,0.004739336492890996
0.995260663507109,0.0,0.004739336492890996
0.9968404423380727,0.00315955766192733,0.0
0.995260663507109,0.004739336492890996,0.0
0.995260663507109,0.004739336492890996,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
0.9984202211690363,0.0,0.001579778830963665
1.0,0.0,0.0
0.9984202211690363,0.001579778830963665,0.0
0.995260663507109,0.004739336492890996,0.0
0.9984202211690363,0.001579778830963665,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
0.9984202211690363,0.0,0.001579778830963665
0.9731437598736177,0.001579778830963665,0.02527646129541864
0.9936808846761453,0.0,0.00631911532385466
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
0.966824644549763,0.0,0.03317535545023697
0.9478672985781991,0.001579778830963665,0.05055292259083728
0.9699842022116903,0.0,0.030015797788309637
0.981042654028436,0.0,0.018957345971563982
0.9889415481832543,0.0,0.011058451816745656
0.9984202211690363,0.0,0.001579778830963665
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
0.990521327014218,0.0,0.009478672985781991
0.9936808846761453,0.0,0.00631911532385466
0.990521327014218,0.0,0.009478672985781991
0.9984202211690363,0.0,0.001579778830963665
0.9968404423380727,0.0,0.00315955766192733
0.9984202211690363,0.0,0.001579778830963665
0.9984202211690363,0.0,0.001579778830963665
0.9842022116903634,0.0,0.01579778830963665
0.9873617693522907,0.0,0.01263823064770932
0.9936808846761453,0.0,0.00631911532385466
0.990521327014218,0.0,0.009478672985781991
0.981042654028436,0.0,0.018957345971563982
0.9794628751974723,0.0,0.020537124802527645
0.9936808846761453,0.0,0.00631911532385466
0.990521327014218,0.0,0.009478672985781991
0.9842022116903634,0.0,0.01579778830963665
0.9510268562401264,0.001579778830963665,0.04739336492890995
0.9289099526066351,0.001579778830963665,0.06951026856240126
0.9826224328593997,0.0,0.017377567140600316
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
0.95260663507109,0.001579778830963665,0.045813586097946286
0.9541864139020537,0.0,0.045813586097946286
0.981042654028436,0.0,0.018957345971563982
0.9921011058451816,0.0,0.007898894154818325
1.0,0.0,0.0
1.0,0.0,0.0
0.9731437598736177,0.0,0.026856240126382307
0.9731437598736177,0.0,0.026856240126382307
0.9984202211690363,0.0,0.001579778830963665
0.9921011058451816,0.0,0.007898894154818325
0.9589257503949447,0.0,0.04107424960505529
0.976303317535545,0.0,0.023696682464454975
0.9936808846761453,0.0,0.00631911532385466
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
0.9968404423380727,0.0,0.00315955766192733
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
0.9984202211690363,0.001579778830963665,0.0
0.985781990521327,0.014218009478672985,0.0
0.9936808846761453,0.00631911532385466,0.0
0.995260663507109,0.004739336492890996,0.0
1.0,0.0,0.0
0.9936808846761453,0.0,0.00631911532385466
0.9984202211690363,0.0,0.001579778830963665
1.0,0.0,0.0
0.9936808846761453,0.0,0.00631911532385466
0.9178515007898894,0.00315955766192733,0.07898894154818326
0.9873617693522907,0.00315955766192733,0.009478672985781991
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
0.9984202211690363,0.0,0.001579778830963665
0.995260663507109,0.0,0.004739336492890996
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
