type,latency,P7,P4,Cz,Pz,P3,P8,O1,O2,FC6,F8,C4,F4,AF4,Fz,C3,F3,AF3,FC5,F7
0,1,3.675538,-7.707047,-2.266018,0.660879,-4.745546,-8.031683,-5.051391,-8.222294,-6.337727,-6.880339,-4.452716,-1.393352,-9.940029,-1.491838,-1.458204,-9.840483,-2.784478,-5.278014,-1.909207
0,2,0.7943484,-5.366,-0.4535703,-5.841529,-9.866053,-6.782774,-2.988146,-6.245856,-8.037629,-7.308744,-4.425169,0.3925171,-7.874867,-0.8463361,-5.99811,-6.185312,1.851082,-10.80291,-1.038593
0,3,4.44628,2.369894,5.802729,-4.062295,-9.088991,0.09113837,4.043866,1.227716,-3.998312,-2.463422,0.9017671,5.557214,-1.318893,2.908208,-5.396729,1.624042,10.55507,-8.551841,1.813593
0,4,8.491415,8.763519,9.423255,-0.290558,-7.390198,6.440399,9.885962,8.515411,0.3060419,2.133856,5.34366,9.130913,5.004273,5.821315,-3.225176,4.889116,13.32972,-7.132376,1.035369
0,5,12.3493,10.45122,11.88089,6.399306,-3.033656,9.029255,11.88698,11.24947,3.49841,4.456448,8.109246,9.607827,6.060997,7.650274,1.12224,4.813427,11.30834,-3.379829,0.6276547
0,6,12.21968,5.552039,7.503841,8.94451,-1.221191,4.441835,6.561888,5.245319,0.2714682,0.8366631,4.808505,4.058962,0.5257597,3.609177,3.197881,-0.5066289,1.341991,-2.282599,-5.064567
0,7,5.409911,-3.959173,0.9556349,9.585984,-1.437271,-4.198241,-3.800615,-4.793564,-5.572024,-5.490524,-1.157139,-2.647157,-8.860387,-2.417305,2.081964,-9.947804,-10.2188,-2.963227,-10.06683
0,8,3.1737,-7.179767,-0.9912934,9.435942,-1.713493,-7.113086,-6.348531,-8.174167,-7.646216,-7.902744,-3.096929,-4.723462,-13.10938,-2.72855,2.363544,-11.32846,-11.27537,-3.607089,-9.557237
0,9,4.54496,-3.238965,2.191227,6.904444,-1.992115,-3.658648,-2.028558,-3.373124,-7.454947,-6.775239,-1.439994,-2.131745,-10.59125,0.6270975,2.114369,-6.56295,-4.212499,-3.961411,-5.087303
0,10,-4.149226,-8.534754,-2.054107,-5.332582,-11.1328,-9.498652,-6.440916,-8.334842,-15.76686,-13.37692,-7.868357,-4.865279,-15.37869,-4.658133,-7.067026,-9.825353,-5.303625,-13.07188,-8.128308
