type,latency,P7,P4,Cz,Pz,P3,P8,O1,O2,FC6,F8,C4,F4,AF4,Fz,C3,F3,AF3,FC5,F7
0,1,-35.5409,-23.81975,-33.12543,-29.81146,-33.50738,-28.12993,-34.1649,-30.00233,-30.04018,-34.90409,-29.01779,-37.19727,-40.62904,-43.6164,-35.05723,-37.13019,-52.57105,-33.11373,-40.93118
0,2,-21.75305,-10.10382,-19.86215,-16.09658,-19.72861,-14.50891,-19.20941,-15.91637,-16.87524,-22.0535,-15.74479,-24.18409,-27.54062,-30.67372,-22.16346,-24.72035,-40.26879,-20.68878,-28.66864
0,3,-21.22588,-9.552124,-17.98783,-14.79087,-18.61101,-14.38758,-19.11351,-15.55354,-16.16056,-25.02444,-14.77042,-24.9563,-28.96811,-32.5204,-20.96822,-25.04469,-40.41128,-20.46331,-28.69701
0,4,-32.20751,-20.80515,-28.85384,-26.05792,-29.83684,-25.52552,-29.93566,-26.76315,-27.26686,-34.93641,-26.12009,-36.06489,-39.47588,-44.81163,-32.33706,-35.4991,-51.6888,-30.65497,-39.25291
0,5,-16.21982,-4.208752,-12.99254,-9.589549,-13.42365,-9.519799,-14.12519,-10.60551,-11.53037,-20.94974,-10.0192,-20.62743,-24.06012,-29.3356,-15.45203,-20.60277,-34.66396,-15.45626,-23.56722
0,6,-8.862861,4.3269,-4.824883,-0.8819815,-5.142729,-2.054232,-6.271994,-2.594022,-4.120112,-19.20452,-2.072197,-16.02151,-20.98452,-25.21929,-7.613433,-15.27904,-28.0956,-10.01564,-18.06099
0,7,-6.201483,8.159268,-1.397676,2.673095,-2.120532,1.028325,-2.126024,0.9162422,-1.311051,-19.0171,1.006651,-15.04291,-20.61914,-25.16624,-5.992109,-14.9053,-26.1858,-8.840877,-17.03848
0,8,-5.236938,10.48576,0.7140278,4.665888,-0.6290765,2.838488,-0.4605672,2.596017,0.8980266,-18.23503,3.054185,-14.17607,-19.88281,-25.97857,-4.73173,-15.90814,-24.79968,-8.880082,-16.91145
0,9,-7.17368,8.831646,-0.4898941,3.59819,-1.766206,0.7383277,-1.896838,0.9681717,-1.636091,-22.4078,1.15588,-17.38617,-23.73072,-29.36589,-5.888813,-20.02701,-28.91682,-12.90976,-21.14449
0,10,-17.98277,-2.26222,-12.57602,-7.55916,-12.56817,-10.08748,-12.51313,-9.837267,-12.08548,-33.8304,-9.991505,-29.11302,-36.09756,-41.37276,-16.37489,-30.18193,-41.61163,-24.25033,-32.81751
0,11,-28.55468,-13.6256,-23.61438,-18.94364,-23.68494,-20.90433,-23.40679,-20.92871,-22.46986,-42.30191,-20.82553,-38.73558,-45.52507,-50.53164,-27.39839,-40.55964,-52.94043,-33.30484,-42.73409
0,12,-31.39247,-17.46157,-26.84219,-22.60886,-27.03986,-24.32815,-25.90198,-24.27082,-26.03818,-43.70121,-24.49666,-41.71379,-48.65384,-52.13739,-31.09673,-44.32321,-55.67565,-35.47856,-45.37827
0,13,-32.33698,-17.99291,-27.0262,-23.50011,-28.31434,-24.57472,-27.45198,-25.0293,-26.31564,-41.74179,-24.77394,-40.59759,-46.36485,-51.97579,-32.44442,-41.79454,-55.06155,-35.00404,-44.2739
0,14,-36.38704,-21.69835,-31.71442,-27.7183,-32.51652,-27.88222,-31.76007,-28.80018,-29.45437,-43.49068,-28.44025,-43.64519,-49.45121,-55.01432,-36.17844,-43.57875,-59.0309,-38.7447,-47.70945
0,15,-35.20529,-21.05244,-31.3824,-27.23969,-31.74126,-26.68566,-29.90824,-27.74668,-27.23228,-40.7681,-27.23279,-41.4889,-47.16777,-52.84368,-35.65956,-44.36963,-57.86883,-37.69267,-46.94807
0,16,-23.3884,-8.818679,-18.65597,-14.82796,-19.60239,-14.79101,-18.22446,-15.75112,-15.72627,-29.74733,-15.11595,-29.96953,-35.8591,-41.4828,-23.67988,-32.74519,-47.33886,-25.96208,-35.64191
0,17,-26.99212,-13.59093,-22.68757,-18.75748,-23.07036,-19.10272,-21.85338,-19.74297,-19.92037,-34.3479,-19.36961,-34.39559,-41.01265,-45.15792,-26.92848,-36.30417,-53.2097,-30.48567,-40.47528
0,18,-30.43927,-15.90062,-26.61898,-22.04245,-26.62631,-22.04766,-25.01779,-22.71244,-23.94983,-37.37165,-22.83383,-37.66047,-43.83654,-47.45406,-30.6484,-40.36748,-54.31834,-33.85142,-43.27527
0,19,-22.03907,-7.722167,-16.90608,-13.18603,-18.01509,-13.70652,-16.15505,-14.18356,-14.69949,-30.45764,-13.84264,-29.66665,-36.26615,-40.88819,-22.92374,-32.22893,-47.29258,-26.09046,-35.7167
0,20,-29.01302,-14.2763,-23.63286,-19.67977,-24.61174,-20.24779,-22.93311,-20.75251,-21.03032,-37.34803,-20.25064,-36.10582,-42.66285,-48.13806,-29.43005,-39.50816,-55.71836,-34.15885,-43.77766
0,21,-32.61225,-19.223,-27.51691,-24.2473,-28.74859,-24.76222,-26.84401,-25.31664,-24.87214,-40.16967,-24.59567,-39.41695,-45.35361,-51.50037,-33.36173,-43.83343,-58.01447,-36.36406,-46.26114
0,22,-30.20071,-17.17553,-25.31899,-22.21571,-26.60283,-22.27254,-24.18462,-22.97489,-21.77999,-36.45087,-22.03939,-36.19767,-42.17928,-47.89557,-31.3704,-41.91568,-54.85766,-33.94727,-43.67039
0,23,-28.80992,-16.56793,-24.79636,-21.46922,-25.40597,-21.40334,-22.60771,-22.04253,-20.86822,-34.8702,-21.55294,-36.15572,-42.87263,-47.0867,-29.83536,-40.94425,-53.73465,-32.39425,-42.47157
0,24,-27.45516,-14.29829,-22.27872,-19.38335,-23.90419,-19.06162,-21.32387,-19.99684,-18.13356,-32.83401,-18.78181,-33.58043,-40.66181,-44.96744,-28.94062,-38.2381,-53.39414,-30.97418,-41.13557
0,25,-26.30931,-11.9779,-20.76412,-17.4966,-22.36159,-16.84402,-20.50493,-18.18934,-15.50589,-31.17834,-16.33122,-31.48218,-39.09958,-42.86396,-26.91709,-36.46329,-51.36049,-30.39408,-39.89342
0,26,-29.3631,-16.25938,-24.94814,-21.30313,-25.61588,-20.9127,-23.23709,-21.80336,-19.62855,-35.70269,-20.64576,-35.74079,-43.18324,-47.25795,-30.27479,-40.03217,-56.20135,-33.76648,-43.80425
0,27,-30.62752,-17.56834,-26.3941,-22.99388,-27.31777,-22.08459,-24.37178,-23.22464,-20.33537,-35.65008,-21.79114,-36.48458,-43.91462,-47.93344,-32.29484,-42.24876,-57.64511,-33.73868,-44.62844
0,28,-27.61636,-15.02184,-23.46611,-20.20166,-24.34748,-19.58191,-22.1198,-20.78944,-16.99021,-34.38224,-18.78833,-34.03653,-41.87172,-45.55292,-28.8189,-39.59878,-53.87132,-29.72467,-40.89724
0,29,-26.94971,-14.79975,-22.36259,-19.38524,-23.40574,-19.03227,-21.66882,-20.24158,-16.09622,-33.70399,-18.02098,-33.49746,-41.83007,-44.96959,-27.46627,-38.37928,-53.49047,-29.75293,-40.58174
0,30,-30.10446,-18.66367,-25.51311,-22.9308,-26.84078,-22.34287,-24.3273,-23.37104,-20.09831,-34.96336,-21.75494,-36.06385,-44.02198,-46.32977,-31.3899,-40.1365,-55.3042,-33.71392,-43.41938
0,31,-25.87328,-12.88513,-21.20289,-17.95676,-22.35685,-17.46521,-19.98595,-18.43277,-16.20853,-31.87136,-17.04841,-31.96481,-39.76394,-42.17558,-27.22466,-36.44622,-51.40637,-29.56869,-39.49137
0,32,-18.30313,-3.675261,-13.26219,-9.375727,-14.42326,-8.587217,-12.00041,-9.719858,-6.368137,-26.54727,-7.673584,-24.46759,-33.59516,-35.2386,-20.06688,-28.65627,-44.09986,-22.97757,-32.60244
0,33,-31.4058,-17.65881,-26.46614,-23.10855,-27.92649,-22.18588,-24.99934,-23.2367,-20.52976,-37.56803,-21.68255,-36.86655,-44.64725,-47.86138,-33.65607,-40.66727,-56.27309,-35.70493,-44.88867
0,34,-40.02991,-28.21288,-36.87152,-33.52757,-37.48101,-31.897,-34.65866,-33.16893,-30.49158,-43.12465,-31.98469,-44.47632,-50.96621,-54.73054,-42.24456,-47.23816,-65.55219,-41.86225,-51.87641
0,35,-35.0128,-23.09526,-31.5174,-28.59579,-32.72472,-26.29578,-30.69709,-28.14589,-24.39364,-35.9432,-26.10419,-37.42243,-43.75418,-47.19375,-37.09235,-39.28786,-58.96838,-35.54324,-44.98745
0,36,-27.12438,-16.21399,-23.27373,-20.80608,-24.78089,-18.98273,-22.70826,-20.46868,-16.55869,-29.64515,-18.24875,-29.49022,-36.24347,-38.3993,-29.59041,-31.65168,-50.69633,-28.7888,-37.55828
0,37,-9.851908,1.923077,-7.192317,-2.99806,-6.815354,-1.743357,-4.731249,-2.795834,0.774197,-16.65586,-1.173496,-14.4387,-21.52592,-24.61629,-11.15232,-17.20808,-33.4597,-13.73472,-22.15329
0,38,-2.570078,10.47784,0.04405025,5.0199,0.8394713,5.912425,3.561878,5.237937,7.763799,-12.14053,6.166209,-9.112514,-16.67983,-19.74137,-4.169885,-11.20773,-25.5282,-7.831357,-15.81522
0,39,-9.361843,3.669175,-5.719773,-1.344005,-5.759158,-1.43521,-3.617811,-1.752405,-0.171724,-21.22646,-0.7529483,-16.5723,-23.9746,-27.3418,-11.19644,-18.48936,-33.77673,-14.06687,-22.83904
0,40,-18.3493,-5.227565,-14.71824,-10.53941,-15.07188,-10.40843,-12.29773,-10.67454,-10.11447,-28.85659,-10.24861,-25.6042,-32.48062,-36.22235,-21.06336,-26.61458,-43.3274,-22.3261,-31.47864
0,41,-7.906592,4.867678,-3.831254,0.0443987,-4.502561,-0.5927823,-1.809922,-0.4378046,-0.5253918,-20.6774,-0.172092,-15.97089,-22.63638,-26.77026,-10.85249,-16.78506,-32.63825,-12.23895,-21.23479
0,42,-7.324382,5.910116,-3.094793,1.201734,-3.404769,0.6032979,-0.5995635,0.7077538,1.930541,-20.86993,1.454917,-14.98245,-22.13216,-26.87353,-9.675948,-17.73701,-31.87906,-13.82772,-22.04895
0,43,-13.20392,0.4584383,-8.419903,-4.388193,-9.1107,-5.117236,-6.752477,-5.158868,-4.83349,-25.23735,-4.681439,-21.44309,-28.87807,-32.58732,-14.83345,-23.06996,-37.21382,-19.2613,-27.48875
0,44,-14.03343,-0.5148386,-8.795971,-5.248073,-9.987164,-6.037596,-7.776627,-6.178306,-5.89563,-24.9175,-5.534462,-21.8555,-29.1428,-32.89272,-15.63691,-24.30994,-38.92295,-19.43044,-28.29846
0,45,-26.6317,-14.24212,-22.47983,-18.91068,-23.12857,-19.08,-21.05482,-19.52305,-18.00089,-35.92255,-18.48346,-32.93112,-39.3365,-43.95279,-28.05481,-36.35341,-50.07675,-30.90056,-39.56744
0,46,-22.03879,-9.701797,-19.34536,-14.89478,-18.89896,-14.55736,-15.90334,-14.84139,-14.19313,-31.06394,-14.75621,-28.95511,-35.04305,-39.73421,-24.12269,-31.16802,-46.17604,-26.30826,-35.15504
0,47,-23.501,-12.0094,-20.08429,-16.56763,-20.57526,-16.90976,-17.46701,-16.74069,-17.84172,-32.62951,-17.27955,-30.71469,-35.7998,-41.22164,-26.40504,-31.37709,-47.94476,-27.23877,-36.10919
0,48,-26.20304,-14.33289,-22.14485,-19.025,-23.17832,-19.18997,-20.64425,-19.44609,-19.72054,-33.71149,-19.4252,-32.56396,-37.23562,-44.18361,-28.40943,-33.3434,-49.70711,-29.27801,-37.96827
0,49,-25.95189,-13.72863,-21.8588,-18.78047,-22.97669,-18.5213,-20.81371,-19.18384,-18.99134,-31.38143,-18.74046,-31.16755,-35.8786,-42.11889,-27.67734,-33.53592,-49.2431,-28.27537,-37.30327
0,50,-25.61928,-14.12451,-21.2282,-18.87284,-23.04303,-18.74256,-20.59661,-19.26488,-19.17327,-31.05449,-18.66778,-30.23168,-34.51404,-40.48949,-28.33804,-33.62179,-48.40443,-27.08741,-36.33555
0,51,-25.33698,-13.47358,-21.13193,-18.38981,-22.69545,-18.13668,-19.89131,-18.55252,-18.69329,-31.5358,-18.21093,-30.48647,-35.31862,-40.57222,-28.44933,-32.71179,-48.65788,-27.49727,-36.55561
0,52,-20.53039,-9.768113,-16.92552,-14.2979,-18.211,-13.66031,-14.58462,-14.02342,-13.63743,-25.92798,-13.95996,-26.15539,-31.53852,-35.7373,-24.12652,-27.13804,-43.13725,-23.21304,-31.70068
0,53,-17.94211,-7.045285,-14.58269,-11.47515,-15.275,-11.20675,-12.3524,-11.46981,-11.31384,-24.34776,-11.3801,-23.32544,-28.21674,-33.30847,-20.55817,-25.30193,-41.02134,-21.22793,-29.6575
0,54,-17.50588,-7.090216,-14.00179,-11.01463,-14.72877,-11.14751,-11.53444,-11.07853,-10.93642,-25.19791,-10.97382,-22.78086,-27.51435,-33.0591,-20.48691,-26.20584,-41.85307,-21.74208,-30.33187
0,55,-17.67106,-7.674345,-13.69162,-11.28614,-14.99979,-11.64667,-12.32213,-11.66046,-11.04122,-26.07413,-11.15262,-23.4996,-28.69501,-33.74895,-20.63998,-25.33609,-41.6451,-20.7662,-29.58675
0,56,-13.08596,-2.039722,-9.36296,-6.333086,-10.42896,-6.436918,-6.355947,-6.193522,-5.873918,-22.77317,-6.106209,-18.99299,-23.91484,-29.78318,-17.33124,-22.21939,-35.57111,-17.66446,-25.64171
0,57,-11.09698,1.790183,-6.238502,-3.081858,-7.857312,-3.536299,-4.081229,-3.331086,-3.691719,-21.76775,-3.092225,-17.79296,-23.96588,-27.60811,-15.03946,-22.05503,-33.37335,-16.2523,-24.3961
0,58,-11.14969,2.022211,-6.494224,-3.210897,-7.992314,-3.270592,-3.548957,-3.259332,-2.731743,-21.22748,-2.889314,-18.25504,-24.94305,-28.7586,-15.34223,-23.58389,-34.10471,-16.13635,-24.96207
0,59,-19.10064,-6.230328,-14.24922,-11.3346,-16.04287,-11.13936,-11.62238,-11.38028,-9.809013,-27.90036,-10.50653,-25.32965,-31.89027,-36.46071,-23.24392,-31.72784,-42.60116,-23.66914,-32.85035
