type,latency,P7,P4,Cz,Pz,P3,P8,O1,O2,FC6,F8,C4,F4,AF4,Fz,C3,F3,AF3,FC5,F7
0,1,-9.516166,-23.92892,1.027211,-13.37707,-10.73585,-16.72843,-15.39529,-24.07408,3.540409,4.169037,0.3069156,7.349111,5.913544,9.985795,-1.233472,4.903943,7.393206,-5.506901,0.743579
0,2,-9.539103,-21.98652,1.166213,-13.01,-11.08236,-15.48915,-13.99106,-21.956,2.962305,5.973289,-0.8878484,5.977862,5.518624,9.287753,-3.007951,3.940896,8.568133,-4.8182,0.967104
0,3,-15.89098,-29.33727,-6.077706,-20.29714,-18.06009,-22.2049,-20.68854,-28.59591,-2.897972,0.3457975,-7.578799,1.096535,-0.4682101,3.394328,-8.851839,-1.417233,2.68343,-9.855165,-4.470858
0,4,-17.97004,-32.94595,-7.476925,-23.4901,-21.68803,-25.67017,-24.10874,-32.64218,-5.159668,-2.54151,-9.34791,-0.6788737,-1.855495,2.071218,-9.521913,-0.7670638,1.041865,-7.824739,-3.861398
0,5,-14.72949,-28.36705,-5.106489,-20.08338,-17.85271,-22.67433,-20.74369,-30.07902,-2.942028,2.262708,-8.488008,0.937918,1.737806,5.240432,-6.381322,2.40912,5.527429,-4.536379,-0.3795961
0,6,-7.760175,-20.15931,-1.611065,-13.47612,-10.2823,-15.69388,-12.60914,-21.84406,1.221797,8.295431,-5.050002,4.861601,6.383822,9.614741,-1.706573,7.180511,12.07749,1.398399,5.342793
0,7,-4.563059,-16.91658,-1.023907,-10.62404,-6.044983,-12.24869,-9.228615,-15.96083,1.708066,9.279241,-4.293709,5.391436,7.055134,9.449961,-1.74476,7.869327,12.7144,5.40241,7.584582
0,8,-2.468907,-14.99809,-1.29905,-9.309216,-3.926767,-11.05958,-6.887165,-14.28857,1.960001,10.25136,-4.543259,6.172023,8.220585,9.347699,-0.6179022,8.768634,14.14727,7.652548,9.312924
0,9,-2.944656,-15.55239,-4.309624,-10.96095,-5.47955,-12.76775,-6.682521,-15.85083,-1.028183,8.131634,-6.992094,2.624667,6.608614,6.928988,-1.49795,7.783609,13.35452,8.016912,8.943891
0,10,-9.221927,-20.64205,-10.49613,-16.98535,-12.44557,-18.72926,-12.4468,-21.17893,-8.749836,0.4004411,-15.17542,-4.60957,-1.472241,0.7230732,-8.048986,-0.432972,5.997221,2.110652,2.137815
0,11,-12.42022,-25.06399,-13.85266,-20.95436,-16.55165,-22.0974,-16.36362,-24.31199,-11.24418,-2.91488,-17.88031,-6.144179,-4.791505,-2.031768,-9.698749,-3.527058,1.851724,0.6417927,-0.4761757
0,12,-7.985794,-21.52898,-11.79709,-17.15133,-11.42385,-19.06493,-11.7336,-20.69512,-9.255633,-0.9723768,-15.73166,-4.188776,-3.694752,-0.6303267,-6.770377,-1.307173,3.218938,4.004958,2.105985
0,13,-5.871577,-17.03693,-9.725872,-13.83139,-8.879725,-15.55992,-7.794951,-15.77358,-9.042195,0.08931413,-16.39548,-4.127163,-3.447599,-0.01399031,-6.520702,-1.805509,3.454388,3.346655,1.732595
0,14,-1.793683,-13.50586,-5.585302,-10.12238,-5.205942,-11.95175,-2.813329,-11.82083,-5.204475,4.399088,-12.66084,-0.02571943,-0.7590412,2.430498,-3.300301,0.02967089,7.368593,7.101489,5.135645
0,15,-11.13029,-24.0686,-17.96914,-20.40541,-14.14495,-22.37159,-12.76532,-22.30566,-15.36731,-7.494279,-21.68984,-9.833203,-10.96504,-8.355461,-12.87774,-10.99306,-4.245495,-2.772552,-5.285565
0,16,-15.53153,-29.37752,-22.27292,-25.31684,-18.96897,-27.10764,-17.84235,-27.58744,-18.82878,-11.37595,-24.71884,-13.42072,-14.82146,-11.98709,-16.379,-13.84342,-8.364459,-5.81649,-8.660434
0,17,-13.09241,-28.15149,-20.52605,-23.72062,-17.05119,-26.06463,-14.97033,-26.74444,-17.19901,-9.671803,-22.95888,-11.55813,-12.88699,-10.57778,-14.6997,-12.82425,-7.202251,-3.489434,-6.860218
0,18,-13.66002,-28.75749,-22.55259,-24.26067,-16.68245,-26.75228,-15.51623,-26.26867,-19.52402,-12.04381,-25.38249,-13.56976,-14.89586,-13.25047,-16.4383,-14.30259,-8.724566,-4.957247,-8.318015
0,19,-10.61559,-26.76189,-18.86618,-21.48168,-14.44228,-24.34687,-12.6636,-23.871,-16.76921,-10.75559,-22.42518,-10.12305,-13.38123,-10.36446,-12.07039,-11.03717,-6.87467,-2.076331,-5.592592
0,20,-6.686338,-23.14531,-15.58413,-18.3593,-12.14941,-21.24959,-8.361826,-21.5125,-13.3827,-7.602158,-18.74721,-6.732551,-9.108847,-6.431621,-6.451551,-5.166319,-1.858788,2.118996,-0.8691592
0,21,-4.950464,-22.31019,-16.41939,-17.46188,-9.972647,-21.41558,-6.353193,-21.15421,-15.21767,-8.788706,-19.28613,-9.761092,-8.826826,-7.098477,-5.964605,-5.432258,-1.26782,3.157009,-0.1874851
0,22,-2.03864,-20.53762,-15.45092,-15.51291,-6.718943,-18.87674,-3.821105,-17.69441,-13.22823,-5.401017,-18.02034,-8.006634,-6.915894,-3.985984,-3.777436,-1.483317,0.857392,7.222392,3.017906
0,23,9.773465,-6.042657,-6.377134,-2.877924,7.180549,-6.344126,8.855285,-3.914604,-4.357592,5.726727,-9.532043,-0.233273,2.879656,6.052152,4.808028,6.182789,12.49515,17.38233,13.04987
0,24,9.241312,-6.071002,-9.958456,-3.860132,6.827291,-7.75141,9.207622,-4.400298,-7.969397,2.063615,-12.69981,-3.739751,-0.9301099,-0.01886985,2.881955,1.266556,8.52666,15.87153,10.21644
