type,latency,P7,P4,Cz,Pz,P3,P8,O1,O2,FC6,F8,C4,F4,AF4,Fz,C3,F3,AF3,FC5,F7
0,1,-34.79686,-23.34813,-3.493602,-18.05173,-9.293515,-38.17022,-71.7102,-78.25336,10.88223,2.699816,17.11739,12.91399,0.03236185,-3.253263,-0.7424415,-5.220785,-7.56354,-10.69994,-8.028133
0,2,-38.04671,-26.60661,-7.483793,-21.29157,-12.09215,-41.38046,-75.64978,-81.3224,7.535499,-0.6506082,13.84103,9.288793,-3.213676,-8.069937,-2.475517,-9.242174,-12.49579,-13.5084,-11.75273
0,3,-34.94499,-23.24899,-4.469717,-17.89888,-8.497531,-38.49611,-72.28835,-78.55771,10.02319,0.9505309,17.51794,11.07814,-2.730847,-5.47137,-1.441887,-8.31778,-11.46904,-10.89016,-9.852026
0,4,-26.11198,-15.04988,3.317333,-9.682123,-0.06386972,-30.41112,-63.46049,-70.46485,17.4807,8.122767,25.85382,17.83117,3.452382,1.738403,6.540767,0.9322006,-1.627578,-1.901796,-0.4218142
0,5,-25.08606,-13.54066,4.008555,-8.780451,-0.2613332,-28.56746,-61.09042,-67.51861,17.36453,7.656792,26.35732,17.03401,2.048906,2.006922,6.673737,1.314229,-1.294304,-1.390886,-0.04478286
0,6,-18.06013,-6.223316,10.45465,-1.516858,7.061123,-21.77926,-53.61536,-60.58739,22.99762,11.96192,33.60537,21.58829,4.556208,7.93576,11.48222,4.731169,1.320192,4.847689,4.679785
0,7,-21.94957,-10.21572,6.64589,-5.028754,4.334337,-26.0918,-58.21325,-64.88918,18.31619,7.216105,29.20633,16.60818,-0.600275,2.641638,6.908502,0.6400682,-2.355964,0.6942645,0.8290732
0,8,-18.71151,-6.893938,9.63604,-1.744354,7.534455,-22.33368,-54.10853,-60.19361,21.02674,10.50116,31.26785,19.51496,3.106832,5.49459,9.49021,4.872053,2.207129,2.563326,3.922359
0,9,-14.6164,-2.443107,12.81503,2.449722,11.78414,-18.06384,-49.14143,-56.41248,25.70695,14.49804,36.56664,23.79903,6.590668,9.845336,13.23446,7.775838,3.923165,4.699942,6.006284
0,10,-18.15572,-5.910743,8.844931,-1.087381,8.636328,-21.60036,-52.30452,-60.0813,22.69403,11.35691,33.87933,20.67531,3.713055,6.240899,8.72206,3.394119,0.05255186,0.7799864,1.94168
0,11,-18.76973,-6.32656,8.25241,-1.891254,7.57611,-21.84519,-52.17096,-60.16831,22.7693,11.48187,34.24208,20.71933,4.253998,6.191234,6.846594,2.740373,0.7621231,0.7167625,1.863837
0,12,-20.51535,-8.478812,6.397682,-3.828723,5.760499,-23.50799,-53.28346,-60.81252,20.61691,10.26174,30.8645,19.30441,4.423192,4.085817,4.840662,0.7364436,-1.022182,-1.61986,-0.3027956
0,13,-26.50478,-15.08527,1.979866,-10.23706,-1.462885,-29.8567,-58.32965,-67.19605,15.46703,6.170631,24.52346,15.26831,2.166466,-0.9506366,-1.138662,-4.06237,-4.348305,-7.140084,-5.087801
0,14,-20.42549,-10.01196,7.66265,-4.685683,4.824144,-24.97625,-52.12972,-62.75606,21.53826,12.37138,30.16164,22.0672,9.154294,6.232859,3.528995,0.4598081,0.3084974,-1.293791,0.2218578
0,15,-21.86033,-10.44319,7.126673,-5.511168,3.668472,-24.88123,-54.16219,-62.09926,21.21927,12.70406,28.9664,22.14847,10.11608,6.202261,3.352661,1.698785,2.087312,-1.633203,0.6592515
0,16,-21.74212,-10.98509,5.763309,-6.245397,3.485402,-25.03396,-54.28686,-62.53944,21.9485,13.93182,29.18581,23.27922,12.05167,7.252634,4.220036,3.75885,4.603918,-1.099579,2.004164
0,17,-24.77106,-13.52204,1.920448,-9.266247,0.6984259,-27.30561,-57.51421,-64.66261,19.65215,11.54287,27.03805,20.84081,9.673152,5.065359,1.321479,1.109184,2.135718,-3.598873,-0.6584122
0,18,-29.635,-17.72861,-2.050007,-13.6929,-4.393126,-31.3804,-61.30984,-68.22154,15.263,7.161631,22.46366,16.65386,5.686181,1.016857,-4.513994,-4.893668,-3.702299,-9.074194,-6.459827
0,19,-34.26109,-23.67499,-6.923421,-19.14911,-9.84559,-37.11889,-65.86855,-74.03384,10.00824,2.761063,16.05648,12.17896,2.268091,-4.095114,-7.76901,-8.463856,-7.546926,-14.03555,-10.72249
0,20,-34.33026,-23.15161,-6.792348,-18.53689,-8.807421,-36.51479,-65.56831,-73.09038,10.36338,3.329113,15.96806,12.76918,3.186969,-3.550773,-8.920416,-8.236962,-7.120224,-15.69091,-11.43749
0,21,-32.81711,-21.73198,-5.235208,-17.34073,-8.025287,-34.81192,-63.83176,-71.08432,11.67686,4.84836,16.97708,14.35311,4.697336,-0.7447435,-7.808974,-5.645951,-3.94492,-13.65831,-8.9575
0,22,-39.59447,-28.78381,-12.59852,-24.28688,-14.72928,-41.62152,-70.92315,-77.99574,4.823658,-1.568644,9.31362,7.891021,-1.614063,-6.844766,-13.31199,-10.2117,-9.003457,-21.37733,-15.22752
0,23,-37.93916,-26.64948,-11.32442,-22.42886,-12.97467,-39.42665,-68.35059,-75.83089,7.102067,0.5295409,11.79953,9.97284,0.4501193,-5.021676,-12.11315,-8.574962,-7.605535,-21.25711,-14.53858
0,24,-39.03287,-26.79907,-12.69771,-23.13929,-13.96999,-39.38573,-68.01845,-75.34621,7.253606,0.4671878,12.38079,9.776744,0.993531,-6.674384,-13.87319,-11.65275,-10.81918,-23.35942,-17.45243
0,25,-27.03231,-15.15017,-1.342103,-11.80074,-3.207317,-27.6365,-55.89969,-63.25994,17.85106,10.74028,23.74331,19.71412,10.13226,4.361511,-2.055703,0.8106452,1.818189,-10.40272,-4.604439
0,26,-30.51025,-19.81811,-5.094181,-16.00681,-7.204394,-32.63232,-59.86575,-68.66573,12.62882,5.334376,18.87845,14.40981,3.71779,0.774518,-6.522637,-2.073384,-0.3160157,-13.46196,-7.046178
0,27,-31.03173,-20.512,-6.44917,-16.8912,-7.985715,-33.43943,-60.73754,-70.01364,11.95651,4.214609,18.79272,13.369,1.682061,0.7421454,-6.848754,-1.793371,-0.1420743,-13.79092,-7.047904
0,28,-28.03137,-17.5124,-4.487908,-14.25779,-5.573022,-29.99567,-57.46226,-65.46325,13.64193,5.987189,20.71844,14.53482,2.938932,2.356841,-3.990752,1.550228,3.40176,-10.47281,-3.67881
0,29,-17.24754,-6.038641,6.792198,-2.871835,5.674029,-18.87816,-46.3922,-54.04554,23.75266,15.29613,31.94596,23.8928,11.07533,12.59949,4.660226,10.52119,12.58366,0.1584476,6.254754
0,30,-14.92596,-3.645952,8.512006,-0.7675633,7.80661,-16.51485,-43.79337,-51.25883,25.22294,16.21473,34.30338,24.86278,11.08648,15.21964,4.771583,11.64613,14.56888,3.071991,8.579697
0,31,-18.78719,-7.752913,4.480624,-4.48889,4.528981,-21.00212,-47.30547,-55.57017,20.35125,10.88498,29.9432,19.73925,5.376323,10.32751,-0.8916857,4.801935,7.515376,-1.697924,2.836181
0,32,-22.71228,-9.86133,1.483326,-7.203181,1.15321,-23.24403,-50.61542,-57.68986,17.8972,7.679272,28.3414,16.603,1.786431,6.398954,-4.8008,-0.9142596,1.101215,-6.11957,-2.666738
0,33,-33.04588,-20.40874,-10.05614,-18.08394,-9.523146,-33.45524,-60.98827,-67.91367,8.126184,-1.896505,18.41204,6.915983,-7.304571,-3.671899,-14.15605,-10.85012,-8.821907,-15.99575,-12.69666
0,34,-33.86987,-21.17803,-9.43818,-18.42364,-10.24628,-34.00819,-62.27192,-68.59587,7.584697,-1.391073,16.28839,7.157112,-6.17947,-4.138316,-12.54539,-7.414579,-5.762257,-17.90992,-12.00788
0,35,-23.82162,-12.33424,0.5092624,-8.936368,-0.6638696,-24.9485,-52.20248,-59.57571,17.03069,9.077774,24.25203,17.4587,5.418768,4.946918,-0.5735181,4.189381,4.819485,-8.943281,-1.94859
0,36,-25.0354,-15.06246,-2.672812,-11.688,-3.296128,-27.40395,-53.64331,-62.00083,14.46962,6.689616,21.66963,14.86097,2.94093,2.680701,-0.5572894,3.075274,3.29422,-9.154468,-2.649284
0,37,-26.40438,-16.37746,-4.221182,-12.86484,-4.218896,-28.79131,-55.54242,-62.88222,12.10835,4.089507,19.49373,12.25159,-0.1297425,0.467929,-2.051208,0.1169772,-0.2550687,-10.11447,-4.703526
0,38,-21.82801,-10.8292,1.567726,-7.589052,0.09000089,-23.54939,-50.73794,-57.67878,16.58161,7.798901,24.91125,15.99676,2.325149,4.745163,2.40494,4.114362,3.291659,-5.493663,-0.5071814
0,39,-27.0811,-15.90763,-2.914141,-12.63289,-5.609181,-29.02838,-56.33479,-63.90033,11.23153,1.828484,20.03459,10.36206,-4.721801,-0.1582502,-1.700288,-1.161126,-3.039833,-10.75471,-5.980494
0,40,-27.47301,-15.94653,-2.764004,-12.56413,-5.724161,-28.93165,-57.64316,-63.52268,10.38842,1.196299,18.52664,9.694553,-5.754356,-0.1753287,-0.4189617,0.01043106,-2.873245,-11.08726,-5.798203
0,41,-21.42257,-10.23134,2.989865,-6.488167,0.3349764,-23.61871,-51.10962,-58.38236,15.29606,5.530042,23.86221,14.25587,-2.224063,4.58318,5.364335,3.91824,-0.5892383,-6.799,-2.039684
0,42,-5.088434,7.788614,18.92724,10.95953,16.79046,-6.310181,-33.4434,-40.08176,29.28573,16.89354,40.75173,25.96114,5.585905,18.42634,19.20233,12.92115,5.271952,7.686917,8.862732
0,43,-6.590085,7.589931,16.35598,10.2177,15.90351,-7.071032,-34.58805,-40.19231,26.14924,11.59445,40.2234,20.81731,-2.596907,14.8997,15.77787,5.679594,-3.826298,5.553937,3.681586
0,44,-9.402991,4.956758,12.32918,7.406826,13.46804,-9.915532,-37.33039,-43.15725,22.85306,7.586617,38.04392,16.59842,-7.696636,10.70338,12.56304,1.919568,-7.989429,1.985148,-0.08425076
0,45,-21.75718,-7.975559,1.80739,-4.977529,0.8966588,-22.92202,-50.42723,-57.07031,11.39746,-2.84001,25.4783,6.05109,-17.06136,-0.8733501,1.721135,-6.481454,-14.88835,-9.641669,-9.566309
0,46,-19.20266,-6.34394,4.805633,-2.78443,3.415257,-21.30654,-48.65064,-55.68514,13.59921,0.1243361,26.98515,8.715724,-13.33177,0.6833458,5.280521,-2.317023,-10.10425,-6.233581,-5.482224
0,47,-8.768463,3.724724,12.8656,7.105309,13.74941,-11.31065,-37.70886,-44.62766,21.71932,7.076703,36.26681,15.99877,-7.644925,9.658452,13.79112,2.130078,-7.611781,3.940108,1.328417
0,48,-4.24015,8.591329,17.47081,11.8856,18.49275,-6.829181,-32.60658,-39.94915,25.80899,10.2914,41.54602,19.44818,-5.103045,13.46953,16.13569,3.030273,-6.697517,8.553405,4.115461
0,49,-2.055658,10.23803,18.45146,13.4875,20.41201,-5.081989,-29.82154,-37.98379,27.38828,11.89564,43.46527,20.75382,-3.488839,14.51653,17.39321,4.849686,-4.380208,10.23689,6.014327
0,50,-12.01477,-1.146845,7.633184,2.23393,9.416957,-15.56301,-39.74228,-48.14167,17.51175,3.98744,31.80933,11.89365,-9.428759,4.187368,9.049097,0.4570655,-6.567913,0.6936555,-0.3682804
0,51,-11.24998,-1.085012,7.875917,2.40294,9.891453,-15.01509,-39.29558,-46.97072,17.74432,5.075067,31.05168,12.75518,-7.47463,5.249418,10.01113,2.570049,-3.729747,2.315794,1.721451
0,52,-18.95753,-8.816452,-0.1921962,-5.517629,2.227165,-22.45069,-47.3958,-54.15517,10.35439,-1.899641,23.51403,5.403767,-13.98585,-2.549683,2.560002,-3.851749,-9.001579,-4.263489,-4.511209
0,53,-16.84259,-7.155519,1.227693,-4.065538,3.78643,-20.26064,-45.15648,-51.53061,12.61479,1.173383,25.3007,7.876881,-9.990274,-0.9289356,4.995215,0.3655369,-3.432358,-1.276672,-0.6114099
0,54,-4.440456,5.965592,12.01161,8.548581,17.00211,-7.171329,-31.78665,-37.95059,25.05283,12.65086,38.81326,19.67022,0.8085887,11.99775,14.47667,9.435338,5.230021,9.922308,9.281364
0,55,-22.06113,-12.38018,-5.260275,-9.613097,-0.9026883,-25.11459,-50.11661,-56.07748,8.030611,-3.152648,20.54895,3.604289,-13.73329,-4.270848,-2.349655,-4.242368,-6.31739,-6.397722,-5.080769
0,56,-20.73263,-12.0554,-4.801219,-9.204929,-0.4445047,-24.41061,-48.9428,-54.96119,8.482654,-2.050872,20.4812,4.269993,-12.06609,-4.13757,0.01250965,-2.00314,-3.856966,-4.209081,-2.776156
0,57,-22.7167,-12.52214,-7.719026,-10.49281,-1.850415,-24.79548,-49.54895,-54.56861,7.018323,-4.445764,20.35762,1.698387,-15.16824,-6.921485,-3.761906,-6.833003,-8.997079,-7.573599,-7.211445
0,58,-20.95663,-11.85536,-6.11189,-9.514164,-0.88521,-24.11016,-46.95374,-53.76315,8.168036,-2.957742,21.19351,3.33169,-12.86649,-5.403306,-3.270992,-6.418589,-7.944657,-5.858874,-5.895132
0,59,-17.62991,-9.177216,-3.195937,-6.988285,1.314249,-21.19786,-43.03767,-50.64211,11.26112,0.367731,24.19347,6.636103,-9.050059,-1.977986,-0.3581373,-3.421367,-4.359713,-1.752116,-2.197421
0,60,-19.67415,-10.92204,-5.491167,-8.862813,-0.1741024,-22.84242,-46.34531,-51.92787,9.059465,-1.806471,22.28205,4.004608,-11.40825,-5.242369,-1.369249,-5.213135,-5.929078,-1.918964,-3.131363
0,61,-20.35554,-12.65144,-6.747634,-10.12792,-0.6234632,-24.74348,-47.60226,-54.18348,7.90329,-2.781329,20.98309,3.157704,-11.99516,-6.158075,-2.516447,-6.453358,-6.7151,-1.986273,-3.523438
0,62,-20.17519,-13.60265,-7.090532,-10.93063,-1.503193,-25.50101,-46.37004,-54.51613,7.136298,-3.081658,20.07399,2.636699,-11.63006,-6.78203,-3.912736,-6.708168,-5.603715,-1.776895,-3.092295
0,63,-23.04312,-16.0476,-9.325947,-13.49582,-4.140499,-27.33607,-49.6907,-55.6484,5.283752,-3.919715,16.76455,1.641576,-10.93699,-8.675798,-5.207876,-8.104065,-6.890044,-3.691133,-4.896583
0,64,-10.15411,-3.501039,2.282007,-0.8792449,9.167212,-15.18781,-36.41247,-43.70087,17.80101,7.784671,30.38024,13.57582,0.4598731,2.796224,6.19559,0.7881672,1.206894,8.82863,5.589322
0,65,-8.717211,-1.07568,3.510551,0.7811276,10.22262,-12.78117,-33.31406,-40.55208,19.07973,8.048314,33.12202,14.04852,-0.2870533,5.055413,3.866384,-0.6579499,0.8063688,9.984804,5.651234
0,66,-6.90402,1.044855,4.025348,2.72202,12.84009,-10.52887,-30.80591,-37.60799,20.67562,9.411146,35.07188,15.31499,1.109482,6.249126,3.937907,-0.862027,0.5471531,10.61503,5.753464
0,67,-1.797083,7.336605,9.173665,8.734384,18.72932,-4.453291,-24.59328,-30.59306,25.30477,13.12237,40.9393,18.95569,4.044687,9.680984,6.720511,0.1081088,1.015217,14.57089,7.987958
0,68,1.397824,11.16869,12.53319,12.57881,22.86266,-0.5809878,-20.72653,-26.87856,29.94756,18.00269,45.12432,23.8496,9.826957,13.01642,10.04914,3.414963,3.832752,15.78965,9.930243
0,69,4.952552,16.11445,15.29377,17.00819,27.632,4.719003,-16.09367,-20.75629,33.99892,21.98861,49.34617,27.42499,13.4508,16.83883,11.87886,8.21494,9.028272,16.66072,12.68996
0,70,3.064563,13.82921,12.82612,14.73429,25.15948,2.311863,-16.69333,-23.246,31.59571,19.34341,47.47808,24.67746,10.54601,13.86535,8.887025,5.446962,6.381785,13.1898,9.628769
0,71,-10.17296,0.3613759,-1.270204,1.208019,11.63793,-11.03099,-29.50057,-36.34074,17.57091,5.245362,33.49238,10.51722,-4.036215,0.5648502,-4.642796,-7.609854,-6.768461,-1.111075,-4.035294
0,72,-22.5125,-11.62012,-11.11088,-10.81636,-1.265952,-22.69589,-42.97997,-48.58059,7.14743,-3.916572,21.81151,0.9112236,-11.95701,-10.47921,-13.88265,-14.17671,-11.56411,-11.17403,-11.91849
0,73,-27.19291,-18.04373,-16.78248,-17.12652,-7.105381,-28.12762,-48.71254,-54.28078,3.25369,-5.442123,15.92443,-1.87599,-11.12391,-15.78597,-14.92666,-10.89228,-5.79814,-13.91382,-11.00673
0,74,-25.40907,-17.10773,-13.99217,-15.84357,-6.326605,-26.54597,-46.89198,-52.64923,5.479802,-1.396114,15.91898,1.738326,-5.261432,-13.22455,-10.86668,-3.736037,2.237194,-12.29207,-6.381308
0,75,-18.05693,-9.45884,-7.805675,-8.461265,1.390514,-18.94154,-39.95269,-45.04977,12.26738,4.635858,23.15907,8.213512,-0.5731901,-4.317378,-4.148685,3.111077,8.005516,-5.317468,0.2672427
0,76,-22.28887,-13.46114,-12.1523,-12.75523,-3.465443,-22.76049,-43.84008,-49.06482,8.673286,1.090447,19.36468,4.62795,-4.033713,-8.357169,-6.692315,-0.2196186,3.809603,-10.08954,-4.149929
0,77,-26.46816,-18.22328,-15.53092,-17.4516,-8.8438,-26.52841,-48.18457,-53.04157,6.614748,1.19897,14.12232,4.604813,-0.9468517,-10.45896,-5.860971,1.078592,4.456248,-14.22687,-6.010115
0,78,-22.84212,-15.10583,-11.88612,-14.06055,-5.318933,-23.42169,-44.46945,-50.38829,10.40818,5.383238,17.39261,8.791239,3.633034,-6.596048,-1.819709,6.277036,9.713146,-11.40995,-1.945014
0,79,-20.07161,-11.93834,-7.554539,-10.58715,-2.430208,-20.37903,-41.96087,-47.04753,12.84761,7.844484,19.25139,11.55278,6.104735,-3.754302,1.904212,7.972006,10.02207,-8.730714,-0.1071813
0,80,-22.95098,-14.87433,-8.908984,-13.51486,-6.568727,-23.21938,-44.49833,-49.53684,9.391189,4.53132,15.27553,8.596941,2.709986,-5.208201,-1.036921,5.1538,7.274529,-10.85614,-2.477618
0,81,-34.98411,-28.34037,-20.90113,-26.11039,-17.666,-36.67665,-58.03997,-64.10957,-1.555981,-5.10103,2.604669,-0.7968204,-4.995835,-15.35412,-12.25881,-3.68047,-0.05248333,-22.16017,-11.99992
0,82,-32.35643,-26.42363,-18.14655,-24.08859,-15.83917,-34.5992,-55.73624,-62.63792,1.625343,-1.335634,4.978282,3.050254,-0.5112927,-11.75527,-8.010192,1.17424,4.839802,-18.91803,-7.938398
0,83,-26.44012,-19.20549,-10.21425,-17.03675,-9.740876,-27.67079,-49.97844,-55.52792,7.889544,4.266703,11.61024,9.105801,4.411601,-5.019822,-2.072411,5.224019,7.893718,-12.32428,-2.924629
